Date/Time,3F-B-BED2:Zone Air Temperature [C](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),3F-B-BED2 BEDROOM-B:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 12/01  20:00:00,16.30918570696043,0.0,0.0,-1.3344471472622968 
 12/01  21:00:00,16.28432566984932,0.0,0.0,-1.3445635075203715 
 12/01  22:00:00,16.263029852924946,0.0,0.0,-1.3523593104752745 
 12/01  23:00:00,18.120325978697545,390351.26661276057,0.0,-1.1080484352018894 
 12/01  24:00:00,18.000000000000005,84115.19582233353,0.0,-1.0685975392307708 
 12/02  01:00:00,17.999999999999998,146042.89620548243,0.0,-1.0658099104195674 
 12/02  02:00:00,17.999999999999998,158122.55358305534,0.0,-1.060257986582019 
 12/02  03:00:00,18.000000000000005,161216.04362787077,0.0,-1.0566318609757668 
 12/02  04:00:00,18.0,158884.01086935943,0.0,-1.0531052421740333 
 12/02  05:00:00,18.0,157217.54481714886,0.0,-1.0501433325187069 
 12/02  06:00:00,18.0,158249.7139434829,0.0,-1.0493374761504333 
 12/02  07:00:00,18.000000000000008,162674.36738131406,0.0,-1.0509130226263457 
 12/02  08:00:00,18.0,158863.81579745463,0.0,-1.0521051869707328 
 12/02  09:00:00,16.64674677351992,0.0,0.0,-1.2136191000260013 
 12/02  10:00:00,16.28084869013036,0.0,0.0,-1.331871995148948 
 12/02  11:00:00,16.270786771122756,0.0,0.0,-1.3458503166790153 
 12/02  12:00:00,16.269795908591744,0.0,0.0,-1.3547949209492219 
 12/02  13:00:00,17.247087451526274,366701.5398618103,0.0,-1.2548295760560724 
 12/02  14:00:00,18.000000005399163,140891.3849019589,0.0,-1.0868648357883327 
 12/02  15:00:00,16.66996142672364,0.0,0.0,-1.240018800662449 
 12/02  16:00:00,16.239567599957196,0.0,0.0,-1.3621444392620764 
 12/02  17:00:00,16.166984802657763,0.0,0.0,-1.3865806979070994 
 12/02  18:00:00,16.10700948814627,0.0,0.0,-1.404472877071895 
 12/02  19:00:00,16.0794281097527,0.0,0.0,-1.4118998670430135 
 12/02  20:00:00,16.072101556014159,0.0,0.0,-1.4125377973825344 
 12/02  21:00:00,16.081744178557064,0.0,0.0,-1.4067023182504482 
 12/02  22:00:00,16.09252748472067,0.0,0.0,-1.399120306655312 
 12/02  23:00:00,18.109483396298044,510518.78100090709,0.0,-1.1275506297306024 
 12/02  24:00:00,18.000000000000005,164247.56819368396,0.0,-1.0747113858009215 
 12/03  01:00:00,18.000000000000008,208643.45754706139,0.0,-1.0705654293994254 
 12/03  02:00:00,18.000000000000005,213096.30602470746,0.0,-1.0682175918584609 
 12/03  03:00:00,18.000000000000005,219562.97774389058,0.0,-1.0700991286856805 
 12/03  04:00:00,18.000000000000005,231142.93412959987,0.0,-1.0736638114932474 
 12/03  05:00:00,18.000000000000005,248353.5593284223,0.0,-1.0763985546918638 
 12/03  06:00:00,18.0,267127.32466809768,0.0,-1.0798544864273659 
 12/03  07:00:00,17.999999999999998,282080.2497056749,0.0,-1.0827506887900016 
 12/03  08:00:00,18.0,286644.12933793969,0.0,-1.0845915233759647 
 12/03  09:00:00,16.51313978678489,0.0,0.0,-1.2629708852707347 
 12/03  10:00:00,16.142848640343734,0.0,0.0,-1.3905200739892989 
 12/03  11:00:00,16.171486391544055,0.0,0.0,-1.397596991830004 
 12/03  12:00:00,16.209703277769554,0.0,0.0,-1.396326624468956 
 12/03  13:00:00,17.233648340712397,383530.9019705947,0.0,-1.2882919477654496 
 12/03  14:00:00,18.00000000399144,119225.30250314494,0.0,-1.115852845052417 
 12/03  15:00:00,16.743815129661969,0.0,0.0,-1.2588199436636146 
 12/03  16:00:00,16.403147525801289,0.0,0.0,-1.3647461073828676 
 12/03  17:00:00,16.39017563575791,0.0,0.0,-1.3741490897769045 
 12/03  18:00:00,16.35420987666021,0.0,0.0,-1.3835893472301984 
 12/03  19:00:00,16.29733096778431,0.0,0.0,-1.395458857914918 
 12/03  20:00:00,16.25101038878152,0.0,0.0,-1.4037330375656048 
 12/03  21:00:00,16.21274017092973,0.0,0.0,-1.410658730816207 
 12/03  22:00:00,16.186297386936905,0.0,0.0,-1.4140431219184864 
 12/03  23:00:00,18.11568615074263,474185.96983298569,0.0,-1.1533805121914725 
 12/03  24:00:00,18.0,163426.75477722777,0.0,-1.104858656152693 
 12/04  01:00:00,18.000000000000005,247481.6583304414,0.0,-1.1009928123255389 
 12/04  02:00:00,17.999999999999998,277271.80414715266,0.0,-1.0948861770731354 
 12/04  03:00:00,18.000000000000005,293830.109836838,0.0,-1.0905934952484127 
 12/04  04:00:00,18.000000000000005,300475.98370643789,0.0,-1.087399479566705 
 12/04  05:00:00,17.999999999999998,319429.6247690888,0.0,-1.085314988715821 
 12/04  06:00:00,18.000000000000008,352273.4428812958,0.0,-1.0849214495836873 
 12/04  07:00:00,18.0,378603.64246905737,0.0,-1.0849343840876616 
 12/04  08:00:00,18.0,378740.68109932259,0.0,-1.0856272979538154 
 12/04  09:00:00,16.42675935192157,0.0,0.0,-1.2732794755057014 
 12/04  10:00:00,16.04419838120221,0.0,0.0,-1.4067099263039776 
 12/04  11:00:00,16.053494568307835,0.0,0.0,-1.4168207450642816 
 12/04  12:00:00,16.06135290456401,0.0,0.0,-1.4214579109747672 
 12/04  13:00:00,17.135075838733639,464795.2332839993,0.0,-1.3117908701873662 
 12/04  14:00:00,18.000000020740346,284259.6754658177,0.0,-1.1148263820397535 
 12/04  15:00:00,16.5420208538151,0.0,0.0,-1.2822191690709624 
 12/04  16:00:00,16.086225847163786,0.0,0.0,-1.4203947911650928 
 12/04  17:00:00,16.03129705128641,0.0,0.0,-1.4480704842383965 
 12/04  18:00:00,15.989009703778076,0.0,0.0,-1.4639781708708438 
 12/04  19:00:00,15.957407260683566,0.0,0.0,-1.4742035330523622 
 12/04  20:00:00,15.93193960297377,0.0,0.0,-1.479352963094611 
 12/04  21:00:00,15.910465141703101,0.0,0.0,-1.4817755464165528 
 12/04  22:00:00,15.892129714420092,0.0,0.0,-1.4834489723527449 
 12/04  23:00:00,18.105255308185698,717750.9760968866,0.0,-1.1847959313362593 
 12/04  24:00:00,17.999999999999998,353536.04747566019,0.0,-1.1164788807684654 
 12/05  01:00:00,18.00000000000001,403149.46987965996,0.0,-1.1063263845261793 
 12/05  02:00:00,18.00000000000001,408017.8616191778,0.0,-1.098101086810951 
 12/05  03:00:00,18.0,412070.0096781112,0.0,-1.0924901939833254 
 12/05  04:00:00,18.000000000000008,418289.1160684506,0.0,-1.0891182438414296 
 12/05  05:00:00,17.999999999999998,423584.4142672344,0.0,-1.0865446005905307 
 12/05  06:00:00,17.999999999999998,430261.93459262888,0.0,-1.0845230968927902 
 12/05  07:00:00,18.0,439653.31336446109,0.0,-1.0828111134566412 
 12/05  08:00:00,18.00000000000001,444705.3740632938,0.0,-1.081340521271109 
 12/05  09:00:00,16.31815675699949,0.0,0.0,-1.2820548273129847 
 12/05  10:00:00,15.87741201670885,0.0,0.0,-1.4327766984644879 
 12/05  11:00:00,15.863221078214514,0.0,0.0,-1.4505550877319476 
 12/05  12:00:00,15.852086961307869,0.0,0.0,-1.4597647235480907 
 12/05  13:00:00,17.018390975241244,562889.6165545893,0.0,-1.3432332645497898 
 12/05  14:00:00,18.00000004539621,445187.64972830007,0.0,-1.1162128948572663 
 12/05  15:00:00,16.39454103486728,0.0,0.0,-1.294606157930823 
 12/05  16:00:00,15.93190315073607,0.0,0.0,-1.4383251822827535 
 12/05  17:00:00,15.895792524961271,0.0,0.0,-1.4580554585645243 
